"lemma","form_1","form_1_freq","form_2","form_2_freq","msps","chisq_eq","p_eq","p_cat","cond_type","def"
"hang","hanged",0,"hung",22,"pst",22,"0.0000","1.0000","cat","Phrases: hang fire, hang it up, hang loose, hang one on, hang out to dry, hang one's hat (on), hang ten, hang tough"
"hang","hanged",1,"hung",20,"pst",17.1904761904762,"0.0000","1.0000","cat","To fasten to some elevated point without support from below. To suspend. ""hang a picture on the wall"""
"hang","hanged",94,"hung",3,"pst",85.3711340206186,"0.0000","0.2461","cat","To suspend by the neck until dead; often hanged in the past; often used as a mild oath. ""I'll be hanged"""
"hang","hanged",1,"hung",15,"ppt",12.25,"0.0005","1.0000","cat","(Informal) To pass time idly or in relaxing or socializing. To hang around. To hang out. ""hanging with friends"" ""hanging at the beach"" "
"hang","hanged",0,"hung",20,"ppt",20,"0.0000","1.0000","cat","Phrases: hang fire, hang it up, hang loose, hang one on, hang out to dry, hang one's hat (on), hang ten, hang tough"
"hang","hanged",1,"hung",30,"ppt",27.1290322580645,"0.0000","1.0000","cat","To fasten to some elevated point without support from below. To suspend. ""hang a picture on the wall"""
"hang","hanged",98,"hung",26,"ppt",41.8064516129032,"0.0000","0.0000","prob","To suspend by the neck until dead; often hanged in the past; often used as a mild oath. ""I'll be hanged"""
"learn","learnt",36,"learned",28,"ppt",1,"0.3173","0.0000","no_cond","To gain knowledge or understanding of or skill in by study, instruction, or experience. ""learn a trade"" ""learned to play chess"""
"learn","learnt",15,"learned",12,"ppt",0.333333333333333,"0.5637","0.0001","no_cond","To come to be able to. ""learn to dance"""
"learn","learnt",37,"learned",55,"ppt",3.52173913043478,"0.0606","0.0000","no_cond","To come to realize. ""learned that honesty paid"""
"lay","lain",70,"laid",3,"ppt",61.4931506849315,"0.0000","0.2448","cat","(Nonstandard) To be or to stay at rest in a horizontal position. To be prostrate. To rest. To recline. ""lie motionless"" ""lie asleep"""
"lay","lain",12,"laid",34,"ppt",10.5217391304348,"0.0012","0.0002","prob","Phrases: lay an egg, lay eyes on, lay into, lay on the table"
"lay","lain",0,"laid",18,"ppt",18,"0.0000","1.0000","cat","To submit for examination and judgment. ""laid her case before the commission"" (I used it more like ""to show for examination"")"
"lay","lain",7,"laid",13,"ppt",1.8,"0.1797","0.0083","no_cond","(Often vulgar) To copulate with. "
"dream","dreamt",59,"dreamed",53,"ppt",0.321428571428571,"0.5708","0.0000","no_cond","To indulge in daydreams or fantasies. ""dreaming of a better future"""
"dream","dreamt",20,"dreamed",28,"ppt",1.33333333333333,"0.2482","0.0000","no_cond","To consider as a possibility. To imagine. ""never dreamed I would become a teacher"""
"dream","dreamt",7,"dreamed",15,"ppt",2.90909090909091,"0.0881","0.0089","no_cond","To come up with the idea for. Often, the phrase ""dream up"". "
"knit","knitted",67,"knit",43,"ppt",5.23636363636364,"0.0221","0.0000","prob","To form by interlacing yarn or thread in a series of connected loops with needles"
"knit","knitted",23,"knit",45,"ppt",7.11764705882353,"0.0076","0.0000","prob","To link firmly or closely. ""knitted my hands"""
"sink","sunk",11,"sank",26,"pst",6.08108108108108,"0.0137","0.0004","prob","To go to the bottom. To submerge. "
"sink","sunk",12,"sank",8,"pst",0.8,"0.3711","0.0033","no_cond","To become impressively known or felt. ""The lesson sunk in."""
"sink","sunk",7,"sank",12,"pst",1.31578947368421,"0.2513","0.0080","no_cond","To go downward in quality, state, or condition. "
"sink","sunk",3,"sank",13,"pst",6.25,"0.0124","0.2258","cat","To become depressed. "
"sink","sunk",20,"sank",6,"pst",7.53846153846154,"0.0060","0.0226","prob","To cause to sink. ""sink a battleship"""
"sink","sunk",14,"sank",1,"pst",11.2666666666667,"0.0008","1.0000","cat","To invest. "
"weave","weaved",8,"woven",7,"ppt",0.0666666666666667,"0.7963","0.0063","no_cond","To form (cloth) by interlacing strands (as of yarn). "
"weave","weaved",7,"woven",17,"ppt",4.16666666666667,"0.0412","0.0094","prob","To interlace (threads) into cloth. "
"weave","weaved",7,"woven",9,"ppt",0.25,"0.6171","0.0068","no_cond","To produce by elaborately combining elements. To contrive. "
"weave","weaved",18,"woven",20,"ppt",0.105263157894737,"0.7456","0.0000","no_cond","To introduce as an appopriate element. To work in. Usually used with in or into. "
