aggregation	silhouette	davies_bouldin	calinski_harabasz	dunn	intra_inter_ratio	centroid_separation	nearest_centroid_loo_acc	total_samples	distance	model	head_indices	embedding_source
micro	-0.2042024759845145	6.71128544779416	7.79063084464324	0.14103589926227625	0.9063547080699634	2.1775217247177485	0.26655226655226655	14183.0	euclidean	answerdotai_ModernBERT-base	1,6	head
macro	-0.35788043423047616	6.107341782124432	7.052702254975616	0.047133898418183225	0.862219740487493	1.0331688512187183	0.35463868463965986		cosine	answerdotai_ModernBERT-base	1,9	head
micro	-0.3620911385512922	6.719989560523804	7.901185320297409	0.04515101131203151	0.869466696292807	1.0326382976514183	0.34384384384384387	14183.0	cosine	answerdotai_ModernBERT-base	1,9	head
macro	-0.20389491676879692	6.107341782124432	7.052702254975616	0.14478509077382962	0.9022144701300617	2.225418050485964	0.279756736369075		euclidean	answerdotai_ModernBERT-base	1,9	head
micro	-0.20477860529963798	6.719989560523804	7.901185320297409	0.1392431082991014	0.9057119836301951	2.19872516902311	0.2629057629057629	14183.0	euclidean	answerdotai_ModernBERT-base	1,9	head
macro	-0.35565220796196384	6.117614984733814	7.033417654063493	0.050033109741812	0.863931715772628	1.0339354458897956	0.35269804265558713		cosine	answerdotai_ModernBERT-base	1,8	head
micro	-0.35907883584811484	6.718234130471563	7.836445228578451	0.0475355085611485	0.871484676008191	1.0309961500377376	0.33955383955383955	14183.0	cosine	answerdotai_ModernBERT-base	1,8	head
macro	-0.20304119103650867	6.117614984733814	7.033417654063493	0.14971520373861671	0.9043174240407142	2.174130365538664	0.2777653238141334		euclidean	answerdotai_ModernBERT-base	1,8	head
micro	-0.20301354834826896	6.718234130471563	7.836445228578451	0.1444038967120329	0.9073793781802939	2.1418260149725286	0.26204776204776203	14183.0	euclidean	answerdotai_ModernBERT-base	1,8	head
macro	-0.3551681392074692	6.052125232984678	7.16259570997122	0.04764605736719667	0.8634200471937193	1.0273066384681853	0.3616226744511263		cosine	answerdotai_ModernBERT-base	1,10	head
micro	-0.3602806316861218	6.666059625924032	8.047436648954232	0.04491459106045948	0.8697291146815396	1.0272106369199514	0.34756184756184755	14183.0	cosine	answerdotai_ModernBERT-base	1,10	head
macro	-0.20243317730745025	6.052125232984678	7.16259570997122	0.14471405529802628	0.9041447333109917	2.19965670299935	0.28008927924784416		euclidean	answerdotai_ModernBERT-base	1,10	head
micro	-0.20498434850132946	6.666059625924032	8.047436648954232	0.13852620246326694	0.9065632631402395	2.1779659959416047	0.2601887601887602	14183.0	euclidean	answerdotai_ModernBERT-base	1,10	head
macro	-0.3637416210784484	6.123822182810238	7.26162330831237	0.045706119911428846	0.8604426856425577	1.0340836951786534	0.3504828796730112		cosine	answerdotai_ModernBERT-base	1,11	head
micro	-0.36684430581859484	6.728682567450678	8.173765393830411	0.04380052438346021	0.8674354970770458	1.0327489980104514	0.338981838981839	14183.0	cosine	answerdotai_ModernBERT-base	1,11	head
macro	-0.20765072273365204	6.123822182810238	7.26162330831237	0.14045113467747655	0.9016694897870949	2.2813063767641335	0.27195754431367136		euclidean	answerdotai_ModernBERT-base	1,11	head
micro	-0.20750308381063384	6.728682567450678	8.173765393830411	0.13516028411141867	0.9043549845833546	2.249594475182913	0.2574717574717575	14183.0	euclidean	answerdotai_ModernBERT-base	1,11	head
macro	-0.34976262190585683	6.119413589619264	6.881027119789162	0.05893459932959179	0.8633891455561316	1.0259827276182465	0.36541160478575807		cosine	answerdotai_ModernBERT-base	2,3	head
micro	-0.35313675328110905	6.751843957347169	7.606688277987883	0.0573998460348426	0.8708501550837775	1.0251715057162727	0.3534963534963535	14183.0	cosine	answerdotai_ModernBERT-base	2,3	head
macro	-0.1957894983596602	6.119413589619264	6.881027119789162	0.18279926583298994	0.9068430195093414	2.094688322994852	0.29173327709528374		euclidean	answerdotai_ModernBERT-base	2,3	head
micro	-0.19707694029577047	6.751843957347169	7.606688277987883	0.17583682630667066	0.9114213661553774	2.049227165007402	0.2775632775632776	14183.0	euclidean	answerdotai_ModernBERT-base	2,3	head
macro	-0.3543766609316793	6.000344428062532	7.520573978684014	0.05512824071605415	0.8601849226980428	1.028036288764759	0.3637618110913187		cosine	answerdotai_ModernBERT-base	2,4	head
micro	-0.3606841795909023	6.574951697949456	8.428093698487997	0.05305078251174484	0.866530375541718	1.028297921715299	0.35006435006435005	14183.0	cosine	answerdotai_ModernBERT-base	2,4	head
macro	-0.19966099876757568	6.000344428062532	7.520573978684014	0.1783828311175884	0.9034091429907731	2.1266695073981183	0.28693687532277107		euclidean	answerdotai_ModernBERT-base	2,4	head
micro	-0.20154804259700945	6.574951697949456	8.428093698487997	0.17156076480629345	0.9061816282035667	2.1039571411207416	0.2707707707707708	14183.0	euclidean	answerdotai_ModernBERT-base	2,4	head
macro	-0.36067716326878685	6.090928640239818	7.5339196060835105	0.054951100687791264	0.8574162336530424	1.0337857928618666	0.3672823160013929		cosine	answerdotai_ModernBERT-base	2,5	head
