system_id	lemma	msps	cond_bucket	n_tokens	optimal_k	best_silhouette	k_range	silhouettes	inertias	note
prove__ppt	prove	ppt	all	199	2	0.6246307248096691	2-10	0.624631,0.407124,0.174931,0.166839,0.155260,0.159595,0.154924,0.142996,0.128884	831426.313603,735551.190263,665569.005711,620085.955953,593206.318056,560991.086473,534144.852354,520027.260763,502102.991240	
ring__ppt	ring	ppt	all	200	2	0.5547567220531887	2-10	0.554757,0.380397,0.218768,0.229438,0.201375,0.174899,0.149857,0.136431,0.113669	912192.895135,793634.198629,704921.710928,644011.624336,611033.628444,598398.985368,561230.553217,536149.819007,520658.100174	
see__ppt	see	ppt	all	199	2	0.5179180164185975	2-10	0.517918,0.483739,0.321986,0.251352,0.223063,0.187180,0.178094,0.128002,0.129497	1991004.189002,1471323.143046,1323932.889565,1185493.113517,1079278.584216,1034259.211187,989427.950774,959442.259505,927045.285045	
see__pst	see	pst	all	198	2	0.5560710600373086	2-10	0.556071,0.451020,0.401381,0.180272,0.182903,0.149356,0.133704,0.149640,0.107371	1072443.787792,914603.193013,833264.401580,779699.336869,714390.579122,687504.502136,656591.868522,637013.092141,616446.158307	
sew__ppt	sew	ppt	all	199	2	0.20768334358059856	2-10	0.207683,0.184888,0.185947,0.186031,0.117937,0.188314,0.138870,0.051131,0.133754	47102.960671,41486.352692,38770.788067,36452.431494,35761.639727,34339.766269,33472.248214,32659.452036,31961.769063	
shake__ppt	shake	ppt	all	199	2	0.254902603287782	2-10	0.254903,0.186761,0.165657,0.129457,0.116236,0.105554,0.113322,0.099043,0.121682	112964.716130,102308.101522,93842.149404,88304.990974,84198.550723,81862.905643,79243.365561,77825.977912,75659.687903	
shine__ppt	shine	ppt	all	200	2	0.30040548965423824	2-10	0.300405,0.185377,0.184920,0.115829,0.142987,0.158862,0.136155,0.117989,0.164735	71873.001944,62093.109490,57400.081735,54613.230648,52113.173114,49753.758995,47109.558614,46187.935955,43721.693295	
shine__pst	shine	pst	all	200	2	0.25498177643949177	2-10	0.254982,0.209566,0.141762,0.143230,0.149674,0.129726,0.141029,0.121740,0.123613	48864.311973,43504.073842,40306.848350,37848.253925,35252.119578,34005.126544,32307.722930,30588.264574,29540.788185	
show__ppt	show	ppt	all	200	2	0.4284428173553448	2-10	0.428443,0.340268,0.204273,0.194768,0.176593,0.137046,0.111269,0.142284,0.131997	862388.946206,743144.176903,681011.610711,634900.651079,598601.102663,567828.246591,548512.298650,520995.738929,504268.670507	
sink__pst	sink	pst	all	196	2	0.19595920865974342	2-10	0.195959,0.178770,0.160926,0.164665,0.172818,0.158080,0.104524,0.117505,0.103368	59988.431455,51659.938491,46862.585978,44563.089283,43350.554146,41631.047746,39895.092966,38298.595963,37742.858545	
slink__pst	slink	pst	all	144	2	0.6297966193910293	2-10	0.629797,0.479625,0.315583,0.242567,0.128341,0.058024,0.091575,0.088012,0.029300	105208.766969,97218.629663,91067.730471,87238.793034,84469.533637,82394.710677,80537.528828,78369.044542,77154.954476	
sneak__ppt	sneak	ppt	all	200	2	0.5833748123662214	2-10	0.583375,0.400336,0.197212,0.142557,0.103665,0.100567,0.086571,0.089377,0.070716	198020.409136,170461.108021,150019.012124,144248.339571,139536.896979,136065.704394,133382.275276,130541.474012,128452.394915	
sneak__pst	sneak	pst	all	200	2	0.5735452503360245	2-10	0.573545,0.377904,0.188291,0.143874,0.100165,0.084980,0.069722,0.085899,0.073611	202819.648376,178564.672205,156245.829983,151224.472382,146978.104974,144121.781063,139778.336480,138101.791810,135632.343103	
speak__ppt	speak	ppt	all	199	2	0.6113894900292893	2-10	0.611389,0.392501,0.156753,0.145300,0.118383,0.124616,0.133473,0.127573,0.126905	1052718.107696,945430.178324,857859.502817,810088.148325,780453.200597,747280.929936,709992.279971,686596.987554,669159.392222	
speak__pst	speak	pst	all	196	2	0.3497012155665824	2-10	0.349701,0.304199,0.313346,0.284470,0.277235,0.284050,0.248278,0.223265,0.168129	238599.100402,204984.874886,183373.085142,171209.166133,162912.104278,155310.978074,150726.209680,145832.266414,139076.355429	
speed__ppt	speed	ppt	all	200	2	0.6809294415530601	2-10	0.680929,0.405377,0.143093,0.138151,0.069486,0.067344,0.070250,0.089295,0.066509	462165.665542,429843.019000,408704.329797,391514.022039,377892.163855,369515.071826,359252.603971,353382.342841,343274.213237	
speed__pst	speed	pst	all	199	2	0.6445719625282417	2-10	0.644572,0.400893,0.154510,0.146146,0.136988,0.120470,0.124116,0.115437,0.108138	577280.752821,517344.995817,468932.715544,443204.888471,421519.197057,406968.032151,388600.204659,379738.001592,369506.974928	
