model	cache_path	embedding_type	system_id	lemma	msps	n_tokens_total_system	n_tokens_with_conditioning	n_tokens_unmatched_conditioning	n_tokens_unexpected_form	n_meanings_total_system	n_meanings_with_conditioning	n_forms_observed_system	observed_forms	expected_form_1	expected_form_2	pair_p_value	pair_test_type	pair_significant	pair_attested_meanings	cond_no_cond_count_expected	cond_prob_count_expected	cond_cat_count_expected	cond_no_cond_count_matched	cond_prob_count_matched	cond_cat_count_matched	system_notes	layer	label_type	label_column	n_samples_eval	n_labels	label_entropy	label_max_count	label_min_count	label_singleton_fraction	label_sparse_fraction	silhouette_cosine	silhouette_euclidean	within_cosine	between_cosine	within_between_ratio_cosine	within_euclidean	between_euclidean	within_between_ratio_euclidean	nearest_centroid_loo_acc_cosine	nearest_centroid_loo_acc_euclidean	kmeans_ari	kmeans_ami	kmeans_pca_components_used
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	drive__ppt	drive	ppt	142	93	49	0	15	4	2	driven,drove	driven	drove	0.0	fisher_exact	True	15	0	0	4	0	0	4		0	conditioned-cat-only	cat_only_label	93	6.0	2.257035960830074	27.0	3.0	0.0	0.0	0.036927783598798	0.017827239533533913	0.39816966460977377	0.5771888266472985	0.6898429876451548	1.2564092545725563	1.5089478904083728	0.8326392598173347	0.5483870967741935	0.5591397849462365	0.3753510474884037	0.4238209806912779	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	eat__ppt	eat	ppt	199	171	28	0	8	2	2	ate,eaten	ate	eaten	0.0053	fisher_exact	True	8	1	1	0	1	1	0		0	raw	raw_label	199	8.0	1.4428159561419673	142.0	1.0	0.125	0.25	-0.21813730487974348	-0.11348487231345765	0.5475164795775405	0.54821991835956	0.998716867522573	1.3783133829698178	1.397608181455621	0.9861944150429146	0.3165829145728643	0.32160804020100503	0.029624128365921914	0.06567699684876906	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	eat__ppt	eat	ppt	199	171	28	0	8	2	2	ate,eaten	ate	eaten	0.0053	fisher_exact	True	8	1	1	0	1	1	0		0	conditioned-exclude	conditioned_exclude_label	142	1.0	-0.0	142.0	142.0	0.0	0.0													0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	eat__ppt	eat	ppt	199	171	28	0	8	2	2	ate,eaten	ate	eaten	0.0053	fisher_exact	True	8	1	1	0	1	1	0		0	conditioned-cat-only	cat_only_label	0																			
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	fall__ppt	fall	ppt	200	151	49	0	14	4	2	fallen,fell	fallen	fell	0.0	fisher_exact	True	14	0	2	2	0	2	2		0	raw	raw_label	200	14.0	2.949755162174359	51.0	1.0	0.21428571428571427	0.35714285714285715	-0.23675347453524373	-0.11087128149659653	0.5151804908998746	0.5864861036372482	0.8784189219571393	1.3744066927471796	1.4939375037488798	0.9199894167582311	0.36	0.385	0.10836174565678944	0.17280122762967434	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	fall__ppt	fall	ppt	200	151	49	0	14	4	2	fallen,fell	fallen	fell	0.0	fisher_exact	True	14	0	2	2	0	2	2		0	conditioned-exclude	conditioned_exclude_label	69	4.0	1.5574653812571848	30.0	4.0	0.0	0.0	-0.034715172510390975	-0.0066284258270207135	0.5140221940712408	0.6581696823460904	0.7809873469695139	1.4269195560906356	1.6349100432458088	0.872781693393817	0.5797101449275363	0.6521739130434783	0.26127176511164335	0.30234659921586304	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	fall__ppt	fall	ppt	200	151	49	0	14	4	2	fallen,fell	fallen	fell	0.0	fisher_exact	True	14	0	2	2	0	2	2		0	conditioned-cat-only	cat_only_label	69	4.0	1.5574653812571848	30.0	4.0	0.0	0.0	-0.034715172510390975	-0.0066284258270207135	0.5140221940712408	0.6581696823460904	0.7809873469695139	1.4269195560906356	1.6349100432458088	0.872781693393817	0.5797101449275363	0.6521739130434783	0.26127176511164335	0.30234659921586304	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	fall__pst	fall	pst	199	0	199	0	22	0	2	fell,felled					False	0	0	0	0	0	0	0	missing_conditioning_forms;missing_conditioning_rows;missing_pair_test;missing_cond_counts	0	raw	raw_label	199	22.0	3.6565111720591474	48.0	1.0	0.22727272727272727	0.36363636363636365	-0.11545570120773742	-0.06398110371532914	0.5022732711751592	0.7766430256440706	0.6467234682995107	1.334363969178177	1.6769871227127384	0.7956912436033944	0.39195979899497485	0.4020100502512563	0.14057365402146096	0.29693675876154646	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	fall__pst	fall	pst	199	0	199	0	22	0	2	fell,felled					False	0	0	0	0	0	0	0	missing_conditioning_forms;missing_conditioning_rows;missing_pair_test;missing_cond_counts	0	conditioned-exclude	conditioned_exclude_label	0																			
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	fall__pst	fall	pst	199	0	199	0	22	0	2	fell,felled					False	0	0	0	0	0	0	0	missing_conditioning_forms;missing_conditioning_rows;missing_pair_test;missing_cond_counts	0	conditioned-cat-only	cat_only_label	0																			
